Car Discharge Estimation,Time of Trip,Diff Elevation,Mean Tempeture,Diff Batery
-0.021008241758241758,3184,81.79999999999995,28.5,-5.0
-0.019543956043956045,1581,-71.32999999999993,29.0,-1.0
-0.059505494505494506,2405,650.3999999999999,23.5,-17.0
-0.08763461538461538,3900,-569.4100000000001,27.5,-8.0
-0.021013736263736264,2336,80.84999999999991,37.0,-6.0
-0.02220879120879121,1420,-78.8599999999999,32.0,-2.0
-0.011478021978021977,1267,32.210000000000036,45.5,-2.0
-0.010645604395604396,682,-31.679999999999836,46.0,0.0
-0.03365934065934066,4533,290.07000000000016,26.0,-5.0
-0.030895604395604397,1753,-58.37999999999988,23.5,-4.0
-0.04412637362637362,2085,66.71000000000004,23.0,-8.0
-0.00385989010989011,215,-87.8599999999999,22.5,0.0
-0.049986263736263734,2567,314.95000000000005,23.5,-14.0
-0.06441758241758241,3318,-240.1300000000001,41.0,-5.0
-0.01989835164835165,2139,189.18000000000006,45.0,-5.0
-0.04085989010989011,2840,-247.52999999999997,48.0,-4.0
-0.011475274725274725,1684,31.62999999999988,39.0,-2.0
-0.0360989010989011,1590,-35.50999999999999,37.5,-21.0
-0.0030576923076923077,631,60.75999999999999,37.5,-2.0
-7.417582417582417e-05,49,-2.5800000000001546,37.0,0.0
-0.03295879120879121,2321,-52.32999999999993,35.0,-4.0
-0.018777472527472527,2676,33.24000000000001,44.5,-6.0
-0.0008489010989010989,60,2.4700000000000273,40.5,1.0
-0.008162087912087912,1096,77.70999999999981,42.5,-3.0
-0.002423076923076923,226,-56.440000000000055,40.5,0.0
-0.00889010989010989,898,1.4500000000000455,39.0,-2.0
-0.014362637362637362,1836,-25.920000000000073,30.5,-3.0
-0.014585164835164836,923,27.569999999999936,30.0,-2.0
-0.03588186813186813,3211,-35.79000000000019,34.5,-5.0
-0.0054725274725274725,428,-2.5699999999999363,34.0,0.0
-0.0005302197802197802,114,0.37000000000011823,35.0,-1.0
-0.02375,738,-48.930000000000064,36.5,-2.0
-0.011554945054945054,350,-17.950000000000045,42.0,-2.0
-0.032120879120879124,726,-41.149999999999864,39.5,-3.0
-0.003986263736263736,88,-1.0699999999999363,40.0,0.0
-0.011645604395604395,843,142.6300000000001,37.5,-4.0
-0.05210439560439561,1801,29.389999999999873,29.5,-12.0
-0.0036126373626373626,427,64.6099999999999,30.5,-2.0
-0.0017307692307692308,168,52.5,29.0,-1.0
-0.0022362637362637362,163,-66.79999999999995,32.0,0.0
-0.0021813186813186814,262,24.539999999999964,34.0,0.0
-0.001335164835164835,105,42.039999999999964,34.5,-1.0
-0.008247252747252748,362,-131.8699999999999,35.0,0.0
-0.010395604395604396,385,-16.839999999999918,38.0,-1.0
-0.0005082417582417582,47,0.20000000000004547,41.0,0.0
-0.0007802197802197802,137,2.490000000000009,39.5,0.0
-0.0012802197802197803,245,-0.8200000000001637,37.0,0.0
-0.009445054945054945,628,11.730000000000018,39.0,-2.0
-0.014175824175824176,730,20.90000000000009,36.0,-3.0
-0.00032417582417582416,113,-1.009999999999991,33.0,0.0
-0.004464285714285714,448,4.329999999999927,32.0,-1.0
-0.00531043956043956,334,-11.649999999999864,31.5,-1.0
-0.021925824175824175,1440,136.05000000000018,39.5,36.0
-0.000717032967032967,93,-0.24000000000023647,39.0,0.0
-0.02303021978021978,928,124.47999999999956,23.0,-5.0
-0.09103846153846154,3766,-637.19,28.0,-2.0
-0.020472527472527473,2131,-133.63999999999987,31.5,-2.0
-0.001978021978021978,124,7.990000000000009,30.0,0.0
-0.001096153846153846,63,11.809999999999945,29.0,0.0
-0.020302197802197802,3010,117.96000000000004,26.5,-9.0
-0.0032142857142857142,290,-44.549999999999955,24.5,0.0
-0.03004945054945055,2044,-82.10000000000014,25.0,-3.0
-0.0051895604395604394,102,2.229999999999791,36.5,0.0
-0.009631868131868131,714,23.930000000000064,38.0,-2.0
-0.0037115384615384614,249,5.869999999999891,40.0,0.0
-0.01064010989010989,763,-31.539999999999964,49.0,0.0
-0.016293956043956045,1452,273.78,39.5,-4.0
-0.003815934065934066,514,-113.74000000000001,36.5,0.0
-0.004873626373626374,777,-12.650000000000091,34.5,-2.0
-0.003414835164835165,377,28.75,37.0,-1.0
-0.002769230769230769,403,-19.289999999999964,38.0,-1.0
-0.006052197802197803,427,-119.71000000000004,33.5,0.0
-0.0015467032967032967,112,-14.170000000000073,34.5,0.0
-0.007494505494505494,487,-37.92000000000007,34.5,0.0
-0.011766483516483517,689,86.97000000000003,33.0,-3.0
-2.7472527472527473e-05,567,-1.1000000000001364,32.0,-1.0
-0.010653846153846154,720,-85.36999999999989,33.0,-1.0
-0.010873626373626374,2023,31.87000000000012,41.5,-3.0
-0.010593406593406593,730,-31.669999999999845,36.0,0.0
-0.0027335164835164834,356,14.720000000000027,43.5,0.0
-0.0315989010989011,2470,286.19000000000005,39.5,-4.0
-0.0007664835164835165,120,-20.579999999999927,36.0,0.0
-0.0027335164835164834,127,-62.40000000000009,36.0,0.0
-0.0037307692307692306,424,-71.61000000000013,36.0,1.0
-0.007804945054945055,660,-74.17000000000007,37.5,0.0
-0.013486263736263736,719,-3.0299999999999727,36.0,-1.0
-0.012934065934065934,1081,20.110000000000127,36.0,-2.0
-0.031142857142857142,1885,570.7299999999998,29.0,-11.0
-0.0030164835164835165,124,38.67000000000007,25.5,-1.0
-0.06608241758241758,4253,-747.5399999999997,25.5,-1.0
-0.008554945054945055,562,-26.50999999999999,27.5,-1.0
-0.0178489010989011,709,154.76999999999998,26.0,-4.0
-0.003412087912087912,200,82.00999999999999,25.5,-1.0
-0.008049450549450549,497,-162.55999999999995,26.0,1.0
-0.01921978021978022,1097,-94.66999999999985,29.0,-1.0
-0.014513736263736263,481,-58.72000000000003,31.0,-1.0
-0.02828021978021978,1020,33.0300000000002,33.5,-3.0
-0.006057692307692307,419,-81.79999999999995,35.5,0.0
-0.0016071428571428571,428,-1.400000000000091,37.0,0.0
-0.02368956043956044,1379,-35.86999999999989,37.5,-3.0
-0.00884065934065934,300,-4.440000000000055,39.5,-1.0
-0.018505494505494505,902,-57.63000000000011,39.0,-2.0
-0.10149725274725274,2408,-214.62999999999988,40.0,-6.0
-0.180760989010989,5006,374.22,44.0,-25.0
-0.002554945054945055,312,1.4400000000000546,52.0,0.0
