Distance,Duration,Traffic,Diff Batery,Diff Elevation,Mean Tempeture
0,0,3203,0.0,81.79999999999995,28.5
0,0,1648,0.0,-71.32999999999993,29.0
0,0,2423,0.0,650.3999999999999,23.5
0,0,3991,0.0,-569.4100000000001,27.5
0,0,1102,0.0,4992.24,39.5
0,0,2388,0.0,80.84999999999991,37.0
0,0,1426,0.0,-78.8599999999999,32.0
0,0,1282,0.0,32.210000000000036,45.5
0,0,692,0.0,-31.679999999999836,46.0
0,0,4550,0.0,290.07000000000016,26.0
0,0,1810,0.0,-58.37999999999988,23.5
0,0,2088,0.0,66.71000000000004,23.0
0,0,225,0.0,-87.8599999999999,22.5
0,0,2589,0.0,314.95000000000005,23.5
0,0,3367,0.0,-240.1300000000001,41.0
0,0,2158,0.0,189.18000000000006,45.0
0,0,2842,0.0,-247.52999999999997,48.0
0,0,1701,0.0,31.62999999999988,39.0
0,0,1617,0.0,-35.50999999999999,37.5
0,0,647,0.0,60.75999999999999,37.5
0,0,55,0.0,-2.5800000000001546,37.0
0,0,2326,0.0,-52.32999999999993,35.0
0,0,2709,0.0,33.24000000000001,44.5
0,0,123,0.0,2.4700000000000273,40.5
0,0,1106,0.0,77.70999999999981,42.5
0,0,306,0.0,-56.440000000000055,40.5
0,0,941,0.0,1.4500000000000455,39.0
0,0,1889,0.0,-25.920000000000073,30.5
0,0,950,0.0,27.569999999999936,30.0
0,0,3243,0.0,-35.79000000000019,34.5
0,0,440,0.0,-2.5699999999999363,34.0
0,0,133,0.0,0.37000000000011823,35.0
0,0,754,0.0,-48.930000000000064,36.5
0,0,394,0.0,-17.950000000000045,42.0
0,0,1117,0.0,-41.149999999999864,39.5
0,0,1201,0.0,-1.0699999999999363,40.0
0,0,2041,0.0,142.6300000000001,37.5
0,0,1818,0.0,29.389999999999873,29.5
0,0,435,0.0,64.6099999999999,30.5
0,0,172,0.0,52.5,29.0
0,0,174,0.0,-66.79999999999995,32.0
0,0,268,0.0,24.539999999999964,34.0
0,0,108,0.0,42.039999999999964,34.5
0,0,371,0.0,-131.8699999999999,35.0
0,0,752,0.0,-16.839999999999918,38.0
0,0,51,0.0,0.20000000000004547,41.0
0,0,183,0.0,2.490000000000009,39.5
0,0,249,0.0,-0.8200000000001637,37.0
0,0,638,0.0,11.730000000000018,39.0
0,0,1367,0.0,20.90000000000009,36.0
0,0,171,0.0,-1.009999999999991,33.0
0,0,616,0.0,4.329999999999927,32.0
0,0,948,0.0,-11.649999999999864,31.5
0,0,1458,0.0,136.05000000000018,39.5
0,0,121,0.0,-0.24000000000023647,39.0
0,0,954,0.0,124.47999999999956,23.0
0,0,4718,0.0,-637.19,28.0
0,0,2159,0.0,-133.63999999999987,31.5
0,0,173,0.0,7.990000000000009,30.0
0,0,233,0.0,11.809999999999945,29.0
