Distance,Duration,Traffic,Diff Batery,Diff Elevation,Mean Tempeture
5275,428,1509,-7.0,0.0,39.0
1610,180,88,2.0,0.0,35.5
16553,1845,400,0.0,0.0,35.0
4271,788,114,-2.0,0.0,36.0
9525,1143,1419,-9.0,0.0,32.0
6001,1008,2803,-3.0,0.0,26.5
1855,435,259,0.0,0.0,29.0
2626,652,1512,-7.0,0.0,33.0
3981,842,629,-2.0,0.0,36.5
2174,584,769,-1.0,0.0,36.0
5655,794,3655,-5.0,0.0,33.5
17754,1375,48,-3.0,0.0,35.5
8725,864,3072,-7.0,0.0,41.0
60922,4285,446,-24.0,0.0,31.0
1851,411,1323,-2.0,0.0,27.5
5293,919,1534,-3.0,0.0,28.0
1262,292,103,-1.0,0.0,36.5
3455,575,173,0.0,0.0,45.5
216,56,36,0.0,0.0,40.5
2150,439,125,0.0,0.0,27.5
8356,799,1177,-3.0,0.0,31.0
11298,1370,620,-5.0,0.0,28.5
2826,621,379,-1.0,0.0,28.0
2553,636,365,-3.0,0.0,45.0
7869,1270,327,-5.0,0.0,42.5
18260,1465,209,-4.0,0.0,39.5
13301,1391,5719,-2.0,0.0,31.5
1495,352,1677,-4.0,7.310000000000173,27.0
3073,714,37,-2.0,-36.659999999999854,25.5
11278,1272,3117,-6.0,13.289999999999964,32.5
10800,1637,760,-3.0,-12.840000000000146,28.5
1285,304,873,-6.0,-7.529999999999973,39.0
2579,540,126,0.0,25.360000000000127,44.0
3445,697,367,-4.0,-10.049999999999955,42.0
12192,1393,1802,-7.0,182.23999999999978,38.0
6618,703,1859,-1.0,-31.75,27.5
10670,1141,333,-2.0,-189.19000000000005,28.5
2228,486,198,0.0,1.6200000000001182,38.5
3998,744,431,0.0,43.819999999999936,40.0
5219,1060,1252,-2.0,-7.2000000000000455,34.0
11025,1523,641,-11.0,503.10000000000014,24.5
15933,1667,273,3.0,-596.5500000000002,26.5
13186,1297,810,-9.0,111.96000000000004,28.0
3097,690,6,-1.0,-35.98000000000002,35.5
6764,912,961,-6.0,211.77999999999997,28.0
96,34,69,0.0,-4.789999999999964,41.0
5819,929,299,-4.0,74.6099999999999,38.0
2086,375,23,-3.0,132.69000000000005,34.0
6102,1065,254,-3.0,-91.04999999999995,29.0
269,59,156,-1.0,23.25999999999999,27.0
1786,421,431,0.0,-81.45000000000005,28.0
5524,929,814,-6.0,157.36000000000013,27.5
1231,316,139,-1.0,36.5,25.5
986,257,266,-1.0,-33.76999999999998,26.5
3318,386,316,-1.0,-20.589999999999918,29.0
2495,455,70,-1.0,12.420000000000073,28.0
2292,488,506,-2.0,7.210000000000036,42.5
11725,1119,1014,-4.0,-29.12999999999988,39.5
19624,1415,440,-2.0,-357.4899999999998,23.5
6044,499,369,-3.0,-20.4699999999998,25.5
4158,331,88,-1.0,40.44999999999982,28.0
4762,378,110,-6.0,-33.070000000000164,23.0
26547,2486,682,-3.0,-624.8400000000001,33.5
2308,444,40,-1.0,8.350000000000136,33.0
9406,1495,137,-6.0,195.22000000000003,29.5
11057,1517,107,-2.0,-195.41999999999985,30.5
2431,600,99,-1.0,-8.720000000000027,31.0
9098,1013,202,-3.0,17.12999999999988,31.0
1549,348,329,-1.0,-5.5499999999999545,40.0
23462,1785,337,0.0,-115.0,43.0
7490,810,1023,-7.0,72.56999999999994,47.0
15685,1641,2047,-10.0,64.94000000000005,46.5
