3981,545,6.1976,-75.5791,6.20511,-75.5693
5364,951,6.20517,-75.5694,6.1957,-75.55
5270,903,6.19631,-75.5506,6.20187,-75.5709
11405,1252,6.20159,-75.5706,6.25321,-75.5945
1062,293,6.25321,-75.5945,6.24509,-75.5947
13259,1660,6.24489,-75.5944,6.19566,-75.55
4045,646,6.19568,-75.55,6.21424,-75.5628
6,0,6.21409,-75.5628,6.21394,-75.5628
3392,560,6.20075,-75.5781,6.20176,-75.5707
4189,706,6.20164,-75.571,6.19651,-75.5506
6524,1103,6.19575,-75.5499,6.22835,-75.5744
4,1,6.22834,-75.5744,6.22826,-75.5745
36,13,6.22829,-75.5745,6.22775,-75.574
20,4,6.22779,-75.5739,6.22765,-75.574
2395,472,6.19695,-75.5602,6.20218,-75.5573
5477,697,6.20215,-75.5572,6.19963,-75.579
3869,881,6.19968,-75.579,6.19812,-75.558
9627,1649,6.19812,-75.5581,6.15236,-75.5816
5487,1120,6.15225,-75.5817,6.17226,-75.6072
8549,1108,6.17226,-75.6072,6.19695,-75.5601
4681,640,6.19694,-75.5603,6.19963,-75.5791
124,48,6.19959,-75.579,6.19975,-75.5795
11456,1249,6.19975,-75.5795,6.15307,-75.5412
14856,1504,6.15311,-75.5412,6.19925,-75.578
1277,188,6.19927,-75.578,6.19963,-75.579
11569,1286,6.19964,-75.579,6.15312,-75.5413
10298,1053,6.23573,-75.5701,6.1723,-75.6072
7927,1067,6.17228,-75.6071,6.20806,-75.5672
121,46,6.20807,-75.5671,6.20858,-75.5669
10905,1190,6.20858,-75.5669,6.15311,-75.5412
18405,1850,6.15314,-75.5412,6.17253,-75.6073
5258,560,6.17251,-75.6073,6.19751,-75.5788
11104,1149,6.19749,-75.5788,6.15312,-75.5412
13967,1402,6.15311,-75.5412,6.19747,-75.5788
361,126,6.19747,-75.5788,6.19973,-75.5794
7,1,6.19973,-75.5794,6.19981,-75.5795
1171,215,6.20063,-75.5794,6.19773,-75.5793
4115,692,6.19772,-75.5793,6.19697,-75.5601
9447,1277,6.19694,-75.5602,6.17227,-75.6072
5344,520,6.17225,-75.6071,6.19942,-75.5796
6322,661,6.1994,-75.5796,6.17115,-75.6066
5421,599,6.17112,-75.6066,6.19751,-75.5786
110,65,6.19752,-75.5786,6.19793,-75.5792
3365,524,6.19788,-75.5792,6.17842,-75.5674
1691,258,6.1985,-75.5753,6.19945,-75.5795
6360,687,6.19948,-75.5795,6.17157,-75.6067
3316,553,6.17156,-75.6067,6.16891,-75.5962
6491,770,6.16892,-75.5962,6.18914,-75.561
4309,678,6.22434,-75.5663,6.197,-75.5602
5307,578,6.17227,-75.6072,6.19752,-75.5786
70,45,6.19757,-75.5787,6.1978,-75.5791
4531,420,6.19778,-75.5791,6.17123,-75.6021
96,47,6.1978,-75.5792,6.19749,-75.5786
45,20,6.19773,-75.5793,6.19752,-75.579
14052,1389,6.19757,-75.579,6.1527,-75.5461
10973,1108,6.1527,-75.5461,6.19751,-75.5789
2445,333,6.20051,-75.5782,6.20118,-75.5757
4311,588,6.20141,-75.5757,6.18556,-75.5616
7185,1038,6.18501,-75.5614,6.20272,-75.6016
559,151,6.20299,-75.6014,6.20316,-75.6058
4174,658,6.20317,-75.6058,6.1955,-75.581
1060,176,6.19542,-75.581,6.20054,-75.5783
569,117,6.20062,-75.5783,6.19863,-75.5779
2538,383,6.2001,-75.5775,6.20058,-75.5782
3261,373,6.20055,-75.5782,6.20493,-75.5771
12114,1056,6.20778,-75.5767,6.3055,-75.5604
1791,199,6.30546,-75.5604,6.30821,-75.5603
7812,1291,6.30815,-75.5603,6.34677,-75.5739
263,75,6.34664,-75.5737,6.34698,-75.5752
14377,1860,6.34699,-75.5753,6.23841,-75.5756
2690,559,6.23774,-75.5757,6.23957,-75.5801
4028,709,6.23961,-75.579,6.24958,-75.5994
196,55,6.2495,-75.5993,6.24817,-75.5985
1542,333,6.24828,-75.5984,6.23884,-75.6016
6933,908,6.23875,-75.6022,6.20938,-75.5718
1745,387,6.20947,-75.5718,6.19535,-75.5744
27607,3091,6.19626,-75.575,6.23229,-75.5011
3408,515,6.23271,-75.5023,6.21997,-75.4989
646,76,6.22003,-75.4987,6.21852,-75.5016
23326,2376,6.21863,-75.5016,6.19459,-75.5694
3116,405,6.19373,-75.5698,6.20057,-75.5783
7005,1077,6.20061,-75.5777,6.15586,-75.5998
7431,857,6.15584,-75.5997,6.2006,-75.5783
2752,437,6.19133,-75.5802,6.17485,-75.5933
1750,177,6.17474,-75.5933,6.18683,-75.5847
1351,78,6.18675,-75.5848,6.19776,-75.5802
2377,175,6.19735,-75.5803,6.21827,-75.5766
1748,395,6.21823,-75.5764,6.20308,-75.5773
2148,304,6.20326,-75.5773,6.20055,-75.5782
2415,394,6.20053,-75.5783,6.19251,-75.58
1398,206,6.19254,-75.5793,6.19702,-75.5744
1990,362,6.19702,-75.5744,6.20612,-75.5769
2737,588,6.21224,-75.5751,6.19251,-75.5764
2117,313,6.19276,-75.5764,6.2018,-75.5789
301,86,6.20179,-75.579,6.20056,-75.5782
3129,523,6.2005,-75.5782,6.20228,-75.5919
1221,217,6.20204,-75.5915,6.20278,-75.6019
318,80,6.20341,-75.6035,6.20327,-75.6058
7544,1349,6.20328,-75.6058,6.24206,-75.6137
2478,482,6.24358,-75.6139,6.23516,-75.606
5649,1070,6.23534,-75.6059,6.20321,-75.6058
2607,430,6.20351,-75.6058,6.20263,-75.5878
2816,406,6.20251,-75.5878,6.20088,-75.5778
4419,620,6.20069,-75.5784,6.20803,-75.5643
1986,371,6.20809,-75.5643,6.21652,-75.5669
4328,760,6.21627,-75.5669,6.2018,-75.5792
2416,350,6.20177,-75.5792,6.20059,-75.5782
2026,272,6.20063,-75.5784,6.20152,-75.5774
3934,543,6.20153,-75.5774,6.17484,-75.5933
1680,172,6.17475,-75.5933,6.18646,-75.5852
2225,259,6.18635,-75.5854,6.20054,-75.5782
0,0,6.2005,-75.5782,6.20059,-75.5782
3743,566,6.20063,-75.5782,6.20565,-75.5715
3423,674,6.20532,-75.5714,6.20707,-75.5616
247,92,6.20696,-75.5611,6.20701,-75.5614
6431,987,6.20715,-75.5615,6.23607,-75.591
1377,293,6.23605,-75.591,6.2268,-75.5874
12281,1274,6.20675,-75.5618,6.15588,-75.5309
12155,1083,6.1558,-75.5311,6.18823,-75.5525
